UNFCCC;Factor;REMIND;Unit_REMIND
5.C.2. Open burning of waste|N2O;;;
5.D. Wastewater treatment and discharge|CH4;;;
5.D. Wastewater treatment and discharge|N2O;;;
5.D.1. Domestic wastewater|CH4;;;
5.D.1. Domestic wastewater|N2O;;;
5.D.2. Industrial wastewater|CH4;;;
5.D.2. Industrial wastewater|N2O;;;
5.D.3. Other|CH4;;;
5.D.3. Other|N2O;;;
5.E. Other|CH4;;;
5.E. Other|CO2;;;
5.E. Other|N2O;;;
5.F.1. Long-term storage of C in waste disposal sites|CO2;;;
5.F.2. Annual change in total long-term C storage|CO2;;;
5.F.3. Annual change in total long-term C storage in HWP waste|CO2;;;
Table1.A(b)|Fuel Types|Liquid fossil|Primary fuels|Crude oil|CO2;;;
